"
          整租·丝庐雅苑二期 3室1厅 南/北        ","
          3室1厅1卫        ",3500元/月,浦东-新场-丝庐雅苑二期,"
        88.26㎡
        ",官方核验,/zufang/SH1610163524158357504.html
"
          整租·绿地海域笙晖(公寓) 4室0厅 南/北        ","
          4室0厅4卫        ",9500元/月,宝山-杨行-绿地海域笙晖(公寓),"
        100.49㎡
        ",官方核验,/zufang/SH1610200962973040640.html
"
          整租·歌林春天馨园 2室1厅 南        ","
          2室1厅1卫        ",10000元/月,静安-大宁-歌林春天馨园,"
        98.00㎡
        ",官方核验,/zufang/SH1610202525502275584.html
"
          整租·景江苑A区 3室2厅 南        ","
          3室2厅2卫        ",6500元/月,闵行-浦江-景江苑A区,"
        65.04㎡
        ",精装,/zufang/SH1603024388855169024.html
"
          整租·馨宁公寓 2室1厅 南        ","
          2室1厅1卫        ",6000元/月,徐汇-华泾-馨宁公寓,"
        62.00㎡
        ",精装,/zufang/SH1610165087136382976.html
"
          整租·绿地海悦 2室1厅 南        ","
          2室1厅1卫        ",8000元/月,静安-西藏北路-绿地海悦,"
        70.00㎡
        ",近地铁,/zufang/SH1610208782111997952.html
"
          整租·江桥万达广场(嘉定) 1室1厅 南        ","
          1室1厅1卫        ",4500元/月,嘉定-江桥-江桥万达广场(嘉定),"
        56.00㎡
        ",精装,/zufang/SH1610207311798730752.html
"
          整租·乐山大楼 2室0厅 南        ","
          2室0厅1卫        ",7300元/月,徐汇-徐家汇-乐山大楼,"
        52.51㎡
        ",官方核验,/zufang/SH1610204716556353536.html
"
          整租·前滩东方惠礼 3室2厅 南        ","
          3室2厅2卫        ",23000元/月,浦东-杨思前滩-前滩东方惠礼,"
        115.00㎡
        ",官方核验,/zufang/SH1610210613441593344.html
"
          整租·张江汤臣豪园(二期) 2室2厅 南        ","
          2室2厅2卫        ",13800元/月,浦东-张江-张江汤臣豪园(二期),"
        92.19㎡
        ",官方核验,/zufang/SH1610219083159044096.html
"
          整租·龙湖滟澜山(公寓) 3室1厅 南        ","
          3室1厅1卫        ",4600元/月,青浦-赵巷-龙湖滟澜山(公寓),"
        85.47㎡
        ",官方核验,/zufang/SH1610219083159044096.html
"
          整租·三门路358弄 2室1厅 南        ","
          2室1厅1卫        ",6000元/月,杨浦-五角场-三门路358弄,"
        58.88㎡
        ",官方核验,/zufang/SH1610282282780721152.html
"
          整租·梅园五街坊 1室1厅 南        ","
          1室1厅1卫        ",6800元/月,浦东-梅园-梅园五街坊,"
        42.84㎡
        ",官方核验,/zufang/SH1610466672127246336.html
"
          整租·紫薇茗庭 3室1厅 南        ","
          3室1厅1卫        ",2900元/月,松江-泗泾-紫薇茗庭,"
        82.00㎡
        ",随时看房,/zufang/SH1610463734818406400.html
"
          整租·平阳新村四街坊 2室1厅 南        ","
          2室1厅1卫        ",7800元/月,闵行-古美-平阳新村四街坊,"
        66.93㎡
        ",官方核验,/zufang/SH1610517381250023424.html
"
          整租·番禺大厦 2室1厅 南        ","
          2室1厅1卫        ",11000元/月,长宁-新华路-番禺大厦,"
        70.66㎡
        ",官方核验,/zufang/SH1610511185570955264.html
"
          整租·海德名园(公寓) 2室2厅 南        ","
          2室2厅1卫        ",4800元/月,松江-松江新城-海德名园(公寓),"
        109.60㎡
        ",官方核验,/zufang/SH1610511061797044224.html
"
          整租·嘉宝紫提湾(公寓) 2室2厅 南        ","
          2室2厅1卫        ",5000元/月,嘉定-嘉定新城-嘉宝紫提湾(公寓),"
        91.70㎡
        ",官方核验,/zufang/SH1610520029751672832.html
"
          整租·莫里斯花源 4室2厅 南/北        ","
          4室2厅3卫        ",5000元/月,嘉定-徐行-莫里斯花源,"
        215.44㎡
        ",官方核验,/zufang/SH1610534300434825216.html
"
          整租·绿地清猗园(威廉公馆三期) 2室2厅 南        ","
          2室2厅1卫        ",6600元/月,嘉定-南翔-绿地清猗园(威廉公馆三期),"
        87.93㎡
        ",官方核验,/zufang/SH1610507573692203008.html
"
          整租·万科假日风景(公寓) 2室2厅 南        ","
          2室2厅1卫        ",7000元/月,闵行-莘庄-万科假日风景(公寓),"
        95.73㎡
        ",官方核验,/zufang/SH1610500227251306496.html
"
          整租·三门二小区 2室1厅 南        ","
          2室1厅1卫        ",6200元/月,虹口-江湾镇-三门二小区,"
        76.58㎡
        ",官方核验,/zufang/SH1610505499919253504.html
"
          整租·金地天地云墅 3室2厅 南/北        ","
          3室2厅2卫        ",10000元/月,宝山-顾村-金地天地云墅,"
        125.73㎡
        ",官方核验,/zufang/SH1610506625355874304.html
"
          整租·华江景城 3室2厅 南/北        ","
          3室2厅1卫        ",7600元/月,嘉定-江桥-华江景城,"
        99.77㎡
        ",官方核验,/zufang/SH1610487158739566592.html
"
          整租·桥一小区 1室0厅 南        ","
          1室0厅1卫        ",6500元/月,黄浦-五里桥-桥一小区,"
        34.00㎡
        ",官方核验,/zufang/SH1610491390918131712.html
"
          整租·前滩东方逸品 1室1厅 南/北        ","
          1室1厅1卫        ",12000元/月,浦东-杨思前滩-前滩东方逸品,"
        57.68㎡
        ",官方核验,/zufang/SH1610490250356850688.html
"
          整租·恒大帝景 3室2厅 南        ","
          3室2厅2卫        ",16000元/月,松江-松江新城-恒大帝景,"
        142.83㎡
        ",官方核验,/zufang/SH1610543348907507712.html
"
          整租·园南新村 2室1厅 南/北        ","
          2室1厅1卫        ",5600元/月,徐汇-植物园-园南新村,"
        61.90㎡
        ",官方核验,/zufang/SH1610543306729586688.html
"
          整租·张江汤臣豪园(二期) 2室2厅 南        ","
          2室2厅1卫        ",12000元/月,浦东-张江-张江汤臣豪园(二期),"
        94.15㎡
        ",官方核验,/zufang/SH1610536912907403264.html
"
          整租·益元大楼 1室1厅 南        ","
          1室1厅1卫        ",6500元/月,黄浦-世博滨江-益元大楼,"
        37.90㎡
        ",官方核验,/zufang/SH1610546724143628288.html
"
          整租·浦江海德 2室2厅 南        ","
          2室2厅1卫        ",21000元/月,浦东-杨思前滩-浦江海德,"
        99.54㎡
        ",官方核验,/zufang/SH2856643806319878144.html
"
          整租·新天地荻泾花园 3室2厅 南        ","
          3室2厅1卫        ",5400元/月,宝山-顾村-新天地荻泾花园,"
        127.09㎡
        ",官方核验,/zufang/SH2854340690639863808.html
"
          整租·西郊华城 4室2厅 复式 南        ","
          4室2厅3卫        ",30000元/月,青浦-徐泾-西郊华城,"
        266.15㎡
        ",官方核验,/zufang/SH2854514624684883968.html
"
          整租·阜兴世纪公馆 3室2厅 南        ","
          3室2厅2卫        ",18500元/月,浦东-潍坊-阜兴世纪公馆,"
        156.20㎡
        ",官方核验,/zufang/SH2870899206367739904.html
"
          整租·梅香苑 2室2厅 南        ","
          2室2厅1卫        ",7500元/月,闵行-梅陇-梅香苑,"
        84.00㎡
        ",精装,/zufang/SH2868748195888889856.html
"
          整租·招商中环华府 3室2厅 南        ","
          3室2厅2卫        ",8400元/月,宝山-大场镇-招商中环华府,"
        100.30㎡
        ",官方核验,/zufang/SH2869455994293846016.html
"
          整租·万科早城(一期) 1室1厅 东/北        ","
          1室1厅1卫        ",5000元/月,闵行-浦江-万科早城(一期),"
        86.00㎡
        ",精装,/zufang/SH2878025387743379456.html
