2室2厅1厨1卫,"				中层(共24层)
		
",76.46㎡,平层, 南,精装,"
								有电梯
							",住宅,"
									暂无数据
							",满五唯一,"
											1999-2001
							",无抵押,暂无数据,2021-01-17,"
									"
2室2厅1厨1卫,"				高层(共8层)
		
",62.57㎡,平层, 南,精装,"
								无电梯
							",住宅,"
									暂无数据
							",满五唯一,"
											1996-1999
							",无抵押,暂无数据,2021-05-03,"
									"
3室2厅1厨1卫,"				中层(共29层)
		
",96.72㎡,暂无数据, 北,简装,"
								有电梯
							",住宅,"
									暂无数据
							",满五唯一,"
											2006-2007
							",抵押,暂无数据,2021-12-07,"
									"
4室2厅1厨3卫,"				低层(共40层)
		
",195.7㎡,暂无数据, 南,精装,"
								有电梯
							",住宅,"
									暂无数据
							",满五唯一,"
											2017
							",抵押,暂无数据,2021-06-03,"
									"
4室2厅1厨3卫,"				低层(共40层)
		
",195.7㎡,暂无数据, 南,精装,"
								有电梯
							",住宅,"
									暂无数据
							",满五唯一,"
											2017
							",抵押,暂无数据,2021-06-03,"
									"
1室1厅1厨1卫,"				高层(共26层)
		
",41.33㎡,暂无数据, 南,简装,"
								有电梯
							",住宅,"
									暂无数据
							",满五唯一,"
											2005-2009
							",抵押,暂无数据,2021-07-28,"
									"
1室0厅0厨1卫,"				中层(共32层)
		
",30.54㎡,平层, 南,精装,"
								有电梯
							",住宅,"
									暂无数据
							",满五唯一,"
											2003-2004
							",无抵押,暂无数据,2020-10-03,"
									"
4室2厅1厨2卫,"				低层(共18层)
		
",128.95㎡,暂无数据, 南,精装,"
								有电梯
							",住宅,"
									暂无数据
							",满五年,"
											2007
							",抵押,暂无数据,2022-02-17,"
									"
3室2厅1厨1卫,"				高层(共7层)
		
",90.22㎡,平层, 北,精装,"
								无电梯
							",住宅,"
									暂无数据
							",满五唯一,"
											1993-1998
							",无抵押,暂无数据,2021-07-04,"
									"
3室2厅1厨1卫,"				低层(共30层)
		
",60.55㎡,平层, 东,精装,"
								有电梯
							",住宅,"
									暂无数据
							",满五唯一,"
											2019
							",抵押,暂无数据,2021-11-20,"
									"
3室2厅1厨1卫,"				低层(共30层)
		
",60.55㎡,平层, 东,精装,"
								有电梯
							",住宅,"
									暂无数据
							",满五唯一,"
											2019
							",抵押,暂无数据,2021-11-20,"
									"
2室2厅1厨1卫,"				高层(共8层)
		
",74.3㎡,平层, 西南,简装,"
								无电梯
							",住宅,"
									暂无数据
							",满五唯一,"
											2010
							",抵押,暂无数据,2021-04-26,"
									"
3室2厅1厨1卫,"				低层(共18层)
		
",85.6㎡,平层, 南,精装,"
								有电梯
							",住宅,"
									暂无数据
							",满五唯一,"
											2011-2015
							",抵押,暂无数据,2020-12-07,"
									"
1室1厅1厨1卫,"				中层(共25层)
		
",53.68㎡,暂无数据, 西北,精装,"
								有电梯
							",住宅,"
									暂无数据
							",暂无数据,"
											2008-2010
							",抵押,暂无数据,2021-11-12,"
									"
3室2厅1厨2卫,"				高层(共46层)
		
",88.02㎡,暂无数据, 南,简装,"
								有电梯
							",住宅,"
									暂无数据
							",暂无数据,"
											2015
							",抵押,暂无数据,2021-07-29,"
									"
3室2厅1厨2卫,"				高层(共24层)
		
",89.42㎡,暂无数据, 东,精装,"
								有电梯
							",住宅,"
									暂无数据
							",满五唯一,"
											2015-2016
							",抵押,暂无数据,2022-05-11,"
									"
